"","Case","pi_ab","Bias.100","SSE.100","ESE.100","CP95.100","Bias.200","SSE.200","ESE.200","CP95.200","Bias.500","SSE.500","ESE.500","CP95.500"
"1","case4","pi_s_00",0.0317152252113921,0.431037462861554,0.419668094940301,0.951,0.0116334159093859,0.382335418112346,0.38772528054459,0.964,0.016986407621485,0.357482572358559,0.354203711320174,0.952
"2","case4","pi_s_01",0.00546121659676635,0.427021224496965,0.374510639314624,0.933,-0.00795533352318262,0.393380545615826,0.37813385006687,0.942,-0.0104287618667529,0.381145140268324,0.364585838059535,0.945
"3","case4","pi_s_10",-0.00496644891421355,0.396020638970224,0.379007456817558,0.944,0.0197803911056618,0.416264535544643,0.374320017036266,0.939,-0.00284629050727309,0.375207290405767,0.362498598853789,0.948
"4","case4","pi_s_11",-0.0108846677431391,0.139895512458889,0.140605570968647,0.955,-0.011203092809965,0.118488044203948,0.121344194571429,0.952,0.000142740991406431,0.101266538950969,0.102251283447847,0.963
"5","case4","pi_y_00",0.0259181240509015,0.39618125402144,0.362921812880171,0.94,0.0132415483514712,0.3366181396485,0.334241327057024,0.956,0.0139817328802573,0.309516925873586,0.307931850521456,0.961
"6","case4","pi_y_01",0.00665267134358083,0.36266841279276,0.323830812091597,0.937,-0.0132829454440382,0.345883577342735,0.323313440458053,0.945,-0.0206961136270126,0.348576883328835,0.320107053931585,0.943
"7","case4","pi_y_10",-0.00214384048080341,0.342307570455391,0.32667060316857,0.944,0.00551196347512861,0.339539036869811,0.322023710967282,0.948,0.00690581220993236,0.338505304700797,0.314132810308747,0.94
"8","case4","pi_s_11",-0.0090995129279321,0.12719364718663,0.120079681263518,0.937,-0.00104420249984816,0.101797133594132,0.103866400774083,0.962,0.00265356808169581,0.088570781452727,0.0882178395442972,0.957
