"","Case","pi_ab","Bias.100","SSE.100","ESE.100","CP95.100","Bias.200","SSE.200","ESE.200","CP95.200","Bias.500","SSE.500","ESE.500","CP95.500"
"1","case5","pi_y0_00",0.0404834767456109,0.155105241515089,0.141715082204116,0.931,0.0326110405675561,0.130495182147542,0.128270775817039,0.938,0.0195528256604658,0.0941086318826386,0.101045188078114,0.954
"2","case5","pi_y0_01",-0.0434193691676367,0.159692778902626,0.143756909536018,0.923,-0.0369628748945492,0.131021570655229,0.130827078064072,0.943,-0.0208561118920295,0.0970555755641928,0.102824245518494,0.946
"3","case5","pi_y0_11",-0.00039793509253816,0.038769239125396,0.0392608723833172,0.943,0.000792720077206321,0.0279193760028855,0.0279730636738498,0.949,-0.000750467668122812,0.0182140559933528,0.0176617025332505,0.94
"4","case5","pi_y1_00",0.00124839824448086,0.0371139421487943,0.036564298405124,0.942,0.000270155975531927,0.0261747658083626,0.0259587456060072,0.952,-2.94980907400433e-05,0.0165843077505932,0.0163585062678279,0.948
"5","case5","pi_y1_01",0.0191244907980921,0.109268438780489,0.113347439076577,0.953,0.0115983352151194,0.0924507133437037,0.0941610028688493,0.962,0.003706016973406,0.0636917343527159,0.0654509544328776,0.947
"6","case5","pi_y1_11",-0.0222242684684534,0.125234988042253,0.127286529025864,0.954,-0.0127352420830684,0.106066822377178,0.106468812002147,0.956,-0.0040764634333792,0.0728541214252618,0.0739321068719699,0.94
