"","Case","pi_ab","Bias.100","SSE.100","ESE.100","CP95.100","Bias.200","SSE.200","ESE.200","CP95.200","Bias.500","SSE.500","ESE.500","CP95.500"
"1","case3","pi_10",0.0370846365484915,0.122624431106409,0.122405567273588,0.937,0.0240171157924989,0.0921618523149277,0.0916054153623215,0.944,0.00681996091230463,0.0598505871788302,0.0603383973569533,0.951
"2","case3","pi_11",-0.0209709254691534,0.0665773046845859,0.0666276398251156,0.935,-0.0125043679102284,0.0491497008318664,0.0499093493067426,0.939,-0.00335085885438613,0.0322394496807498,0.0325909371358999,0.947
